Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	22.818049	22.818049
1	0.950747	750	22.474969	45.293018
2	0.926679	750	22.133749	67.426768
3	0.902980	750	21.792065	89.218833
4	0.879648	750	21.460791	110.679623
5	0.856682	750	21.116594	131.796218
6	0.834079	750	20.779072	152.575290
7	0.811838	750	20.450926	173.026216
8	0.789957	750	20.120595	193.146811
9	0.768433	750	19.788830	212.935641
10	0.747266	750	19.459103	232.394744
11	0.726452	750	19.131032	251.525776
12	0.705989	750	18.807416	270.333192
13	0.685877	750	18.485376	288.818568
14	0.666112	750	18.167471	306.986039
15	0.646693	750	17.850197	324.836236
16	0.627618	750	17.527949	342.364185
17	0.608884	750	17.213782	359.577967
18	0.590490	750	16.895265	376.473232
19	0.572433	750	16.598327	393.071559
20	0.554712	750	16.281713	409.353272
21	0.537324	750	15.962528	425.315800
22	0.520268	750	15.669781	440.985581
23	0.503540	750	15.369412	456.354993
24	0.487139	750	15.062359	471.417352
25	0.471063	750	14.758306	486.175658
26	0.455310	750	14.468896	500.644555
27	0.439877	750	14.172863	514.817417
28	0.424762	750	13.879357	528.696774
29	0.409963	750	13.580129	542.276903
30	0.395478	750	13.305345	555.582248
31	0.381305	750	13.009930	568.592178
32	0.367440	750	12.728252	581.320429
33	0.353883	750	12.452883	593.773312
34	0.340630	750	12.158909	605.932221
35	0.327680	750	11.888139	617.820361
36	0.315030	750	11.602140	629.422500
37	0.302677	750	11.327285	640.749785
38	0.290619	750	11.057882	651.807667
39	0.278855	750	10.790290	662.597957
40	0.267381	750	10.518767	673.116724
41	0.256195	750	10.260082	683.376806
42	0.245294	750	9.989195	693.366001
43	0.234677	750	9.733621	703.099621
44	0.224340	750	9.470336	712.569958
45	0.214281	750	9.216779	721.786737
46	0.204498	750	8.950389	730.737126
47	0.194988	750	8.705942	739.443068
48	0.185749	750	8.468863	747.911931
49	0.176777	750	8.213302	756.125233
50	0.168070	750	7.967809	764.093043
51	0.159626	750	7.713725	771.806768
52	0.151441	750	7.481701	779.288468
53	0.143514	750	7.240404	786.528872
54	0.135841	750	7.009683	793.538556
55	0.128420	750	6.774434	800.312990
56	0.121247	750	6.539060	806.852050
57	0.114320	750	6.320539	813.172588
58	0.107637	750	6.091500	819.264089
59	0.101193	750	5.875584	825.139673
60	0.094986	750	5.652511	830.792183
61	0.089014	750	5.432223	836.224407
62	0.083273	750	5.223977	841.448384
63	0.077760	750	5.011548	846.459932
64	0.072472	750	4.810433	851.270365
65	0.067406	750	4.589335	855.859700
66	0.062558	750	4.381901	860.241601
67	0.057926	750	4.207855	864.449455
68	0.053506	750	4.000259	868.449714
69	0.049295	750	3.784447	872.234161
70	0.045289	750	3.603555	875.837716
71	0.041485	750	3.431284	879.269000
72	0.037880	750	3.216302	882.485302
73	0.034469	750	3.034184	885.519486
74	0.031250	750	2.861006	888.380492
75	0.028218	750	2.694833	891.075325
76	0.025370	750	2.526873	893.602198
77	0.022702	750	2.350750	895.952948
78	0.020209	750	2.168566	898.121514
79	0.017889	750	2.019126	900.140640
80	0.015736	750	1.837819	901.978460
81	0.013746	750	1.709114	903.687574
82	0.011916	750	1.541979	905.229553
83	0.010240	750	1.391690	906.621243
84	0.008714	750	1.254113	907.875356
85	0.007334	750	1.077884	908.953239
86	0.006093	750	0.961963	909.915202
87	0.004988	750	0.802692	910.717894
88	0.004013	750	0.685419	911.403312
89	0.003162	750	0.504830	911.908143
90	0.002430	750	0.403227	912.311370
91	0.001810	750	0.246993	912.558363
92	0.001296	750	0.148826	912.707189
93	0.000882	750	0.002922	912.710112
94	0.000559	750	-0.012457	912.697655
95	0.000320	750	-0.180261	912.517394
96	0.000156	750	-0.290421	912.226973
97	0.000057	750	-0.461904	911.765070
98	0.000010	750	-0.999841	910.765228
99	0.000000	750	-17.675580	893.089648
Log marginal likelihood:	893.089648
